participant,block_number,trial_number,reward_oneback,stay,K,K_c,reward_oneback_pm,reward_oneback_wp,reward_oneback_pm_c
5c41f9ce4fe4f800016dfaac,1,2,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,3,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,4,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,5,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,6,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,7,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,8,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,9,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,10,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,11,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,12,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,13,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,14,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,15,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,16,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,17,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,18,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,19,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,20,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,21,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,22,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,23,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,24,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,1,25,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,2,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,3,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,4,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,5,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,6,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,7,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,8,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,9,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,10,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,11,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,12,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,13,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,14,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,15,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,16,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,17,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,18,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,19,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,20,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,21,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,22,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,23,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,24,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,2,25,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,2,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,3,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,4,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,5,0,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,6,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,7,1,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,8,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,9,0,0,2.9966962755181545,1.1592516912299131,0.4861111111111111,-0.4861111111111111,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,10,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
5c41f9ce4fe4f800016dfaac,3,11,1,1,2.9966962755181545,1.1592516912299131,0.4861111111111111,0.5138888888888888,-0.01730273752012884
